"","Location","Year","Habitat","Management","state","biom","site.year","species.richness","corallivore.biomass","planktivore.biomass","browser.biomass","grazer.biomass","scraper.biomass","piscivore.biomass","mixeddiet.carnivore.biomass"
"1","Cousin Carbonate",2005,"Carbonate","Protected","Shifted",915.525815195125,"Cousin Carbonate.2005",34,1.505726653,0,258.622290328875,21.913437598625,409.72264952925,125.86520871475,97.896502370625
"2","Cousin Carbonate",2008,"Carbonate","Protected","Shifted",717.79328609175,"Cousin Carbonate.2008",41,2.48380414,0,364.8512144395,68.271914021375,155.889541039,23.21985070175,103.076961750125
"3","Cousin Carbonate",2011,"Carbonate","Protected","Shifted",747.703262860625,"Cousin Carbonate.2011",40,3.339298785,0,155.2342425,17.493646635,351.7995206785,42.489075705,177.347478557125
"4","Cousin Carbonate",2014,"Carbonate","Protected","Shifted",683.434742992125,"Cousin Carbonate.2014",33,2.286988357,0,288.32915495575,12.66499375425,225.07658986025,22.95695714625,132.120058918625
"5","Cousin Granite",2005,"Granitic","Protected","Shifted",383.79588781175,"Cousin Granite.2005",40,2.210872974625,0.2838503825,76.76142958,54.406424837625,128.87470088325,20.4618623875,100.79674676625
"6","Cousin Granite",2008,"Granitic","Protected","Shifted",680.33164433025,"Cousin Granite.2008",49,4.244151773875,0.16255891,5.11649045625,72.328963884875,296.50677398125,59.05657518875,242.91613013525
"7","Cousin Granite",2011,"Granitic","Protected","Shifted",710.674013490625,"Cousin Granite.2011",46,0.507166816625,0.16255891,131.97309391625,47.525270840625,349.726196945,56.4089635625,124.370762499625
"8","Cousin Granite",2014,"Granitic","Protected","Shifted",661.663914644375,"Cousin Granite.2014",46,0.61689237175,0,244.6539711915,43.06346257125,202.684678842,24.2337522925,146.411157375375
"9","Cousin Patch",2005,"Patch","Protected","Shifted",343.006301946625,"Cousin Patch.2005",41,0,0,72.90434815625,14.223172964375,130.95701334675,14.953694407,109.96807307225
"10","Cousin Patch",2008,"Patch","Protected","Shifted",639.048560919375,"Cousin Patch.2008",46,1.60088073,0.97535346,196.822288045625,35.115490618125,284.304397627,37.4124959625,82.817654476125
"11","Cousin Patch",2011,"Patch","Protected","Shifted",1176.31136414175,"Cousin Patch.2011",54,1.25183418225,0.16255891,329.906813707,69.58549032125,462.79033181825,69.8199829295,242.7943522735
"12","Cousin Patch",2014,"Patch","Protected","Shifted",865.3579690945,"Cousin Patch.2014",52,3.321461557125,0.16255891,298.30758139775,152.311318901,295.748456910125,17.26525323,98.2413381885
"13","Mahe E Carbonate",2005,"Carbonate","Fished","Shifted",292.054219650125,"Mahe E Carbonate.2005",32,1.831317156,0,34.42495219575,35.717202407625,128.0160402835,0,92.06470760725
"14","Mahe E Carbonate",2008,"Carbonate","Fished","Shifted",530.679966067875,"Mahe E Carbonate.2008",55,17.188548923875,1.50112993475,0,64.5552089115,194.562731567,39.553761399,213.31858533175
"15","Mahe E Carbonate",2011,"Carbonate","Fished","Shifted",268.03178345775,"Mahe E Carbonate.2011",30,1.987347146,0,5.375821236375,27.957865526375,182.80369669325,0,49.90705285575
"16","Mahe E Carbonate",2014,"Carbonate","Fished","Shifted",290.93621305225,"Mahe E Carbonate.2014",46,5.91390143925,0,5.57083237475,40.20856726775,158.655980385,16.42343394325,64.16349764225
"17","Mahe E Granite",2005,"Granitic","Fished","Shifted",266.066583618375,"Mahe E Granite.2005",37,0.2352736995,2.60094256,6.91665793125,32.0476856715,92.573921381875,36.395890018875,95.296212355375
"18","Mahe E Granite",2008,"Granitic","Fished","Shifted",447.9662749945,"Mahe E Granite.2008",46,4.523010582625,10.9822513635,0,53.772096856375,197.618580600125,27.93038062125,153.139954970625
"19","Mahe E Granite",2011,"Granitic","Fished","Shifted",400.511611767,"Mahe E Granite.2011",36,7.50655911275,0,100.16302028875,20.73864387075,172.969121262,0,99.13426723275
"20","Mahe E Granite",2014,"Granitic","Fished","Shifted",359.24595499675,"Mahe E Granite.2014",37,0.6833136685,0,118.595967271,19.123997627875,130.7539487445,6.41044532775,83.678282357125
"21","Mahe E Patch",2005,"Patch","Fished","Recovering",254.443118561125,"Mahe E Patch.2005",38,3.116873921,0,2.3283748175,14.27867078975,165.34131098025,0.890768877125,68.4871191755
"22","Mahe E Patch",2008,"Patch","Fished","Recovering",517.64666714975,"Mahe E Patch.2008",48,11.55131623275,3.7566348115,2.27811250625,65.647061620625,284.796730923,9.43690763125,140.179903424375
"23","Mahe E Patch",2011,"Patch","Fished","Recovering",611.737853448125,"Mahe E Patch.2011",43,10.65337230325,0.97535346,14.160639345,27.305342443,467.59177225325,0,91.051373643625
"24","Mahe E Patch",2014,"Patch","Fished","Recovering",425.31495831325,"Mahe E Patch.2014",50,2.5477481535,0.317497871125,0,21.838204594625,279.20684920925,6.27595244625,115.1287060385
"25","Mahe NW Carbonate",2005,"Carbonate","Protected","Recovering",393.8818287615,"Mahe NW Carbonate.2005",52,0.77905993375,3.046695196375,0,39.42961806825,154.879566937875,78.348767916875,117.398120708375
"26","Mahe NW Carbonate",2008,"Carbonate","Protected","Recovering",293.421455991625,"Mahe NW Carbonate.2008",58,6.505377615125,4.576075168875,9.72518059375,26.985106271375,121.074334234,27.52018194975,97.03520015875
"27","Mahe NW Carbonate",2011,"Carbonate","Protected","Recovering",734.892665766375,"Mahe NW Carbonate.2011",53,11.76305752675,10.521115957,0,37.373606004375,362.02268180275,41.854059824375,271.358144651125
"28","Mahe NW Carbonate",2014,"Carbonate","Protected","Recovering",506.936206649625,"Mahe NW Carbonate.2014",60,31.90350480075,17.624766270375,0,49.561414759375,262.37315966225,18.78779801475,126.685563142125
"29","Mahe NW Granite",2005,"Granitic","Fished","Recovering",376.646721872,"Mahe NW Granite.2005",48,2.124403609,9.836283972875,1.107684255,15.232066360375,226.56255415625,3.547391878875,118.236337639625
"30","Mahe NW Granite",2008,"Granitic","Fished","Recovering",684.994511839875,"Mahe NW Granite.2008",58,8.4360991915,15.036458427625,6.78142093125,45.429971915,418.499330671375,1.25316247375,189.558068229375
"31","Mahe NW Granite",2011,"Granitic","Fished","Recovering",614.17563843275,"Mahe NW Granite.2011",58,16.508976607625,12.747073454375,45.08501357125,78.100378113875,240.86348859525,32.472776875,188.397931215375
"32","Mahe NW Granite",2014,"Granitic","Fished","Recovering",450.1260569555,"Mahe NW Granite.2014",56,12.209582956625,2.490606129,11.48270752625,54.335218568875,248.978564993375,10.698949720625,109.93042706075
"33","Mahe NW Patch",2005,"Patch","Fished","Recovering",129.044170228875,"Mahe NW Patch.2005",31,0.8345561215,2.8237284285,0,10.334315719,13.93400724775,0.32333152375,100.794231188375
"34","Mahe NW Patch",2008,"Patch","Fished","Recovering",174.62182868625,"Mahe NW Patch.2008",39,6.8461307995,0.21867320775,0,16.8899204345,24.710394505375,12.902601098875,113.05410864025
"35","Mahe NW Patch",2011,"Patch","Fished","Recovering",272.916387279125,"Mahe NW Patch.2011",54,14.161417921125,3.798182389875,4.19787772,9.906101499625,119.258747302,0.50133807075,121.09272237575
"36","Mahe NW Patch",2014,"Patch","Fished","Recovering",295.71180542325,"Mahe NW Patch.2014",65,20.85160902525,9.85407870325,0,19.76630853425,115.996087152,25.67461195275,103.56911005575
"37","Mahe W Carbonate",2005,"Carbonate","Fished","Recovering",293.522988136875,"Mahe W Carbonate.2005",48,3.111074135,2.49934324175,0,56.018281778625,143.553398195,6.112314251875,82.228576534625
"38","Mahe W Carbonate",2008,"Carbonate","Fished","Recovering",480.554530694,"Mahe W Carbonate.2008",53,3.496201323125,6.6411596875,24.890361109375,95.36642159475,204.7352309225,5.3438378725,140.08131818425
"39","Mahe W Carbonate",2011,"Carbonate","Fished","Recovering",1023.31688395512,"Mahe W Carbonate.2011",64,10.224284850125,24.715859097625,210.801885334,44.215836757375,479.456230030625,16.199151938125,237.70363594725
"40","Mahe W Carbonate",2014,"Carbonate","Fished","Recovering",661.682209334875,"Mahe W Carbonate.2014",56,29.436371665125,28.266015398875,0,37.09625751575,459.21237896025,10.466295349,97.204890445875
"41","Mahe W Granite",2005,"Granitic","Fished","Recovering",241.737632918,"Mahe W Granite.2005",50,4.387428616,6.747781379375,0,54.801059865625,91.37681289325,16.6133185025,67.81123166125
"42","Mahe W Granite",2008,"Granitic","Fished","Recovering",381.9211742075,"Mahe W Granite.2008",50,6.970427975125,5.4965231445,19.72498723875,51.920119574,146.282725989375,38.3639236225,113.16246666325
"43","Mahe W Granite",2011,"Granitic","Fished","Recovering",477.876281669125,"Mahe W Granite.2011",59,9.666021266,6.373139086375,3.3445690325,36.130706244125,278.029168575125,27.195141005,117.13753646
"44","Mahe W Granite",2014,"Granitic","Fished","Recovering",495.628452877875,"Mahe W Granite.2014",62,13.220395509,3.22641336625,4.41862941125,75.32505813625,291.19027935525,8.1339865165,100.113690583375
"45","Mahe W Patch",2005,"Patch","Fished","Recovering",160.516678942,"Mahe W Patch.2005",39,2.891265978125,7.362230833625,0,14.87866097775,79.574464551625,0,55.810056600875
"46","Mahe W Patch",2008,"Patch","Fished","Recovering",262.608514744,"Mahe W Patch.2008",49,7.90534654,9.541643548375,9.369109281875,21.173538952875,61.641640765625,2.867343763125,150.109891892125
"47","Mahe W Patch",2011,"Patch","Fished","Recovering",350.781665605375,"Mahe W Patch.2011",53,10.2249144945,36.973462949125,5.61734209125,16.1268732565,186.238127244,13.8511751535,81.7497704165
"48","Mahe W Patch",2014,"Patch","Fished","Recovering",334.496817805875,"Mahe W Patch.2014",53,23.223014237375,4.855115834375,3.529597098,24.78171941025,180.62587890775,29.5531622515,67.928330066625
"49","Praslin NE Carbonate",2005,"Carbonate","Fished","Shifted",346.752744804,"Praslin NE Carbonate.2005",37,2.0932659645,0,0,16.7512831895,105.309594454,95.410974575,127.187626621
"50","Praslin NE Carbonate",2008,"Carbonate","Fished","Shifted",137.409228263125,"Praslin NE Carbonate.2008",34,3.968927233875,1.686971787875,10.8587768275,16.914449046125,35.47570760475,0,68.504395763
"51","Praslin NE Carbonate",2011,"Carbonate","Fished","Shifted",77.633543427625,"Praslin NE Carbonate.2011",28,1.391714179375,0,14.683548799875,0.58977735925,7.504780747625,0,53.4637223415
"52","Praslin NE Carbonate",2014,"Carbonate","Fished","Shifted",86.247317332625,"Praslin NE Carbonate.2014",24,1.541337249125,0,2.98336295375,3.77735944425,8.76989038725,24.69462825625,44.480739042
"53","Praslin NE Granite",2005,"Granitic","Protected","Recovering",508.64049216925,"Praslin NE Granite.2005",53,9.15015090025,0.234531861,85.247972828,52.167886938625,183.876667358375,26.45671658625,151.50656569675
"54","Praslin NE Granite",2008,"Granitic","Protected","Recovering",479.76816461675,"Praslin NE Granite.2008",71,15.48722749175,9.081669709375,58.84900981425,66.13261185,76.2160858295,15.335956158375,238.6656037635
"55","Praslin NE Granite",2011,"Granitic","Protected","Recovering",783.272735067625,"Praslin NE Granite.2011",67,12.1397099795,1.98720938625,32.86467530125,84.2730004325,339.848794778625,10.448913395875,301.710431793625
"56","Praslin NE Granite",2014,"Granitic","Protected","Recovering",584.866703687125,"Praslin NE Granite.2014",63,19.44983751775,3.71955594075,19.70564624,66.236367526125,321.664838344625,21.87382387925,132.216634238625
"57","Praslin NE Patch",2005,"Patch","Protected","Recovering",522.3096420915,"Praslin NE Patch.2005",48,2.84617353925,2.344721778125,5.5965018975,47.652049311375,115.006250345375,140.69121734575,208.172727874125
"58","Praslin NE Patch",2008,"Patch","Protected","Recovering",367.66978783675,"Praslin NE Patch.2008",46,2.9298737955,2.863192929625,0,73.600633336625,139.50563838825,2.1328194875,146.63762989925
"59","Praslin NE Patch",2011,"Patch","Protected","Recovering",367.196042826375,"Praslin NE Patch.2011",52,3.78214936825,5.433341068125,4.7432870675,34.188242811375,127.99743743075,23.61512485,167.436460230375
"60","Praslin NE Patch",2014,"Patch","Protected","Recovering",244.67971179675,"Praslin NE Patch.2014",46,4.451146802125,2.377076922625,18.27263749375,28.3735714715,120.782139782125,0,70.423139324625
"61","Praslin SW Carbonate",2005,"Carbonate","Fished","Shifted",220.23176723775,"Praslin SW Carbonate.2005",32,1.293330323375,0.719132678125,38.232701753,2.875567072875,105.468509943,16.730423201875,54.9121022655
"62","Praslin SW Carbonate",2008,"Carbonate","Fished","Shifted",141.543455888,"Praslin SW Carbonate.2008",35,0.61409384375,1.11314753625,4.702917850875,0.852966507625,34.7807596585,43.27835127875,56.20121921225
"63","Praslin SW Carbonate",2011,"Carbonate","Fished","Shifted",162.70082383675,"Praslin SW Carbonate.2011",31,1.5581198675,0,1.607887228,0,93.714717563375,5.59215921875,60.227939959125
"64","Praslin SW Carbonate",2014,"Carbonate","Fished","Shifted",633.65296088475,"Praslin SW Carbonate.2014",52,2.168498312875,0,203.497894435,13.839516501,161.783769544125,2.263204565,250.10007752675
"65","Praslin SW Granite",2005,"Granitic","Fished","Recovering",322.159507561375,"Praslin SW Granite.2005",47,6.207268438,5.55127369675,9.5369765155,105.280838279875,124.71438344325,0.747208491875,70.121558696125
"66","Praslin SW Granite",2008,"Granitic","Fished","Recovering",1047.770297308,"Praslin SW Granite.2008",62,12.411759017375,9.847736845375,26.40365867,123.79247034325,486.268893338875,192.86470470525,196.181074387875
"67","Praslin SW Granite",2011,"Granitic","Fished","Recovering",673.80089146225,"Praslin SW Granite.2011",63,17.385842103875,0.48767673,46.029744070375,91.944136066125,254.336106605875,61.0282129685,202.5891729175
"68","Praslin SW Granite",2014,"Granitic","Fished","Recovering",740.47232968375,"Praslin SW Granite.2014",65,16.220228982125,2.479835784125,88.6973165335,90.114946336125,195.630839367375,67.2981683325,280.030994348
"69","Praslin SW Patch",2005,"Patch","Fished","Shifted",151.354927074375,"Praslin SW Patch.2005",39,0.910671503875,2.027060472,0,14.90802065275,96.55680204975,1.146597675875,35.805774720125
"70","Praslin SW Patch",2008,"Patch","Fished","Shifted",505.7191044615,"Praslin SW Patch.2008",57,4.735705386875,1.964424615125,0,119.48455034625,213.74614395525,26.393108063375,139.395172094625
"71","Praslin SW Patch",2011,"Patch","Fished","Shifted",544.235107978875,"Praslin SW Patch.2011",52,4.1117648505,0.451090581875,4.89773900625,57.252539966625,370.1416400675,1.8727096305,105.507623875625
"72","Praslin SW Patch",2014,"Patch","Fished","Shifted",539.764420933375,"Praslin SW Patch.2014",49,6.470831897375,1.030636255125,17.043014529375,40.355084111875,386.8803183095,3.337077460875,84.64745836925
"73","Ste Anne Carbonate",2005,"Carbonate","Protected","Shifted",508.325350392,"Ste Anne Carbonate.2005",41,1.179555376125,3.742368102875,9.1315459625,30.026928445125,190.910508948625,13.798474005,259.53596955175
"74","Ste Anne Carbonate",2008,"Carbonate","Protected","Shifted",215.9671662685,"Ste Anne Carbonate.2008",54,3.006055298375,7.293032874125,2.7059467905,11.75859546475,69.736194715125,0.132409002875,121.33493212275
"75","Ste Anne Carbonate",2011,"Carbonate","Protected","Shifted",215.78298582375,"Ste Anne Carbonate.2011",30,0.11763684975,0,13.889124311125,0,54.702619051875,0,147.073605611
"76","Ste Anne Carbonate",2014,"Carbonate","Protected","Shifted",437.97301513,"Ste Anne Carbonate.2014",52,11.417444743375,2.2621607185,8.21218491375,17.08450671975,256.5508280415,2.26636701575,140.179522977375
"77","Ste Anne Granite",2005,"Granitic","Protected","Recovering",1088.77733875937,"Ste Anne Granite.2005",62,14.424840972625,2.620309930625,27.94636663975,83.720055243125,597.853299761,73.421937916875,288.790528295375
"78","Ste Anne Granite",2008,"Granitic","Protected","Recovering",982.287981087375,"Ste Anne Granite.2008",61,13.0430083315,33.727798855875,54.31769037625,111.44962721975,388.363409841125,32.65186958,348.734576882875
"79","Ste Anne Granite",2011,"Granitic","Protected","Recovering",997.58439116675,"Ste Anne Granite.2011",65,11.2145853855,2.76350147,23.03138616125,100.143955835125,555.091462652375,16.936687091,288.4028125715
"80","Ste Anne Granite",2014,"Granitic","Protected","Recovering",856.798262149625,"Ste Anne Granite.2014",68,11.511256396125,0.48767673,87.91070119175,50.13360876375,429.8210725365,11.8534085475,265.080537984
"81","Ste Anne Patch",2005,"Patch","Protected","Recovering",244.146205342125,"Ste Anne Patch.2005",36,0,1.175201015625,0,5.98447042025,120.38381099475,0.243178196875,116.359544714625
"82","Ste Anne Patch",2008,"Patch","Protected","Recovering",168.342314969375,"Ste Anne Patch.2008",48,4.798074004125,3.19953998525,1.586640308625,3.389713468,71.396888730625,5.59215921875,78.379299254
"83","Ste Anne Patch",2011,"Patch","Protected","Recovering",522.350917960375,"Ste Anne Patch.2011",61,10.366169564375,6.081223542,18.35808787,20.6291288055,218.202478133375,3.65900822425,245.054821820875
"84","Ste Anne Patch",2014,"Patch","Protected","Recovering",850.647875394875,"Ste Anne Patch.2014",50,16.974458846125,11.778063109625,0,19.135744279375,480.173273899625,58.138344312,264.447990948125
